-2,,
369,2008-11-04,K
372,,
373,,
375,,
377,2009-11-03,J
395,2011-12-01,J
396,2010-11-10,J
398,2010-11-10,J
400,,
401,2011-03-31,K
402,,
403,,
406,2011-03-31,K
407,2012-12-18,J
408,2011-03-31,K
409,2012-12-18,L
414,,
417,,
420,,
422,2012-12-18,L
424,,
426,2011-12-01,J
429,2010-11-10,J
434,,
439,2011-03-31,K
448,,
452,2011-05-03,L
453,,
456,,
457,,
461,,
463,,
466,,
467,2013-11-14,K
470,2011-03-31,K
471,,
472,,
475,2011-12-01,K
478,,
479,2012-12-18,L
480,,
485,2012-12-18,L
10000,,
10001,,
10002,,
10003,,
10004,,
10005,,
10006,,
10007,,
10008,,
10009,,
10010,,
10011,,
10012,,
10013,,
10014,,
10015,,
10016,,
10017,,
10018,,
10019,,
10020,,
10021,,
10022,,
10023,,
10024,,
10025,,
10026,,
10027,,
10028,,
10029,,
10030,,
10031,,
10032,,
10033,,
10034,,
10035,,
10036,,
10037,,
10038,,
10039,,
10040,,
10041,,
10042,,
10043,,
10044,,
10045,,
10046,,
10047,,
10048,,
10049,,
10050,,
10051,,
10052,,
10053,,
10054,,
10055,2013-01-24,J
10056,2013-11-14,J
10057,2013-01-24,J
10058,2005-12-06,K
10059,,
10060,2009-11-03,K
10061,2010-11-10,J
10062,2013-11-14,J
10063,2011-12-01,J
10064,2010-11-10,J
10065,,
10066,,
10067,,
10068,,
10069,2007-04-26,L
10070,2013-06-06,G
10072,2007-04-26,L
10073,2006-07-16,G
10074,2010-11-10,J
10075,2006-07-16,G
10076,2006-10-04,K
10077,2011-12-01,J
10078,2012-12-18,K
10079,,
10080,,
10081,,
10082,2012-12-18,K
10084,2008-05-06,J
10086,,
10088,,
10089,2008-07-28,K
10090,2008-03-26,L
10091,2008-08-12,L
10092,2008-07-30,J
10093,,
10095,,
10096,,
10097,2008-11-12,K
10098,2012-03-05,G
10099,2008-11-04,K
10100,2007-12-06,K
10101,2010-11-10,J
10102,,
10103,,
10104,,
10105,2010-11-10,J
10106,2011-05-31,G
10107,2010-11-10,J
10108,,
10109,2010-11-10,J
10110,2009-11-03,K
10111,,
10112,2008-09-04,J
10113,,
10114,2011-12-01,J
10115,,
10116,2011-12-01,J
10117,2011-12-01,J
10118,,
10119,,
10120,,
10124,2013-11-14,K
10125,2010-06-18,J
10126,2011-03-31,K
10129,,
10130,2011-12-01,J
10131,2013-11-14,K
10134,,
10138,,
10139,,
10141,2012-12-18,L
10142,,
10144,2010-11-10,J
10148,2011-05-03,L
10149,2010-11-10,J
10150,2011-05-03,L
10153,2010-11-10,J
10156,,
10157,,
10163,,
10167,2012-12-18,K
10176,,
10180,,
10181,,
10182,,
10183,,
10184,,
10185,,
10186,,
10187,,
10188,,
10189,2012-12-18,K
10190,2012-12-18,J
10191,,
10192,,
10193,,
10194,,
10195,,
10196,,
10197,,
10198,,
10199,,
10200,,
10201,,
10202,,
10203,,
10204,,
10205,,
10206,,
10207,2013-11-14,K
10208,2013-11-14,K
10209,,
10210,,
10211,2013-06-06,G
10212,,
10213,,
10214,,
10215,2013-11-14,J
10216,,
10217,,
10218,,
10219,,
10220,,
10221,,
10222,,
